logFC logCPM LR PValue FDR
IFNB1 9.90178863407129 6.38168301303947 1362.01781563001 3.76807552015109e-298 5.55527373935875e-294
IFNL2 9.88278911684125 4.78803719710654 940.018354410393 1.96118700334453e-206 3.21264222114538e-203
IFNL3 9.32836740762578 3.73840257983745 534.081351738339 3.65624248423872e-118 1.34759957362829e-115
LOC727751 -9.26300431694252 1.16298726755513 157.06712368946 4.94860198993698e-36 3.09140843803563e-34
SCN3A 8.86822621393071 0.749111709910138 157.030894446598 5.03963496254477e-36 3.13499317522353e-34
IFNL4 8.53443758504199 0.443976806945926 145.672165946179 1.5311264256926e-33 8.68207572845615e-32
IFNL1 8.26532288960414 5.14241915246268 858.790826211383 8.92141323208106e-189 9.39488537718365e-186
KIAA0408 7.93163678580235 -0.163116656868789 89.1809154123188 3.60308137192362e-21 1.07530827259656e-19
CH25H 7.70176684626718 3.92322460771761 720.306435378373 1.14822098598757e-158 8.06105809353081e-156
TNF 7.68521796848739 5.13294002098887 874.748871230165 3.0283034050199e-192 3.43432900770833e-189
GBP1P1 7.57650758865796 -0.439476087205463 84.6726683762657 3.5208401399221e-20 9.8124283899568e-19
LRRN3 7.28537802206086 -0.693749447648747 72.4534502953678 1.71018683782872e-17 3.81441521181676e-16
CSF2 7.04675415795783 4.78997251804043 784.218413733173 1.45648045073679e-172 1.19293840473403e-169
RGAG1 6.65133757875229 0.341892596325444 134.038304055091 5.35915025350595e-31 2.76258574081952e-29
FW340055 6.29362145854736 1.59347452279016 164.888479108398 9.67545779245773e-38 6.45453729566535e-36
CYP1A1 6.17906260607121 5.64700258460301 988.097681665819 6.94090879261679e-217 2.55824545823873e-213
CXCL10 6.10135047604559 5.3793458382568 925.867129447725 2.33725056384612e-203 3.44580850627833e-200
IL6 6.06405241772653 6.73139134047538 1120.67066758624 1.0623580354003e-245 7.83117225795329e-242
ZBP1 6.02724871567308 4.3080790522891 630.712958287298 3.49751504392325e-139 1.71879547641868e-136
CXCL11 5.99719015117602 5.44099830169369 846.265106345508 4.71565696664891e-186 4.63486204395366e-183
AK127224 5.64464653325437 0.129014281776272 101.63878326841 6.66279391465616e-24 2.36697760683797e-22
CSF3 5.64102150317409 1.70171271408689 233.085581278417 1.26604111708901e-52 1.28725821994782e-50
TRIM22 5.62045745025995 5.81314089326971 912.407442750847 1.9706620105076e-200 2.42112250174279e-197
UBASH3A 5.52908551424554 -0.653164578093101 66.3006062574066 3.871395740498e-16 7.62029204301228e-15
SDPR 5.51232083262151 0.0143338634397653 100.390462300692 1.25129196957806e-23 4.34065823705632e-22
NLRP1 5.49945386945627 0.483722297601194 133.405032630528 7.37263266740266e-31 3.7352138630762e-29
NR4A3 5.37384311144242 0.361983207517597 117.140216597397 2.67473473308196e-27 1.11080603295288e-25
MX2 5.34770153587114 6.69785566561736 956.4804700367 5.1767124443024e-210 1.090289593805e-206
TNFAIP3 5.34736062321544 7.26035166077246 722.727316666121 3.41673428913241e-159 2.51864568123395e-156
CD274 5.2693804302492 4.28556146245015 570.236083180077 4.98841143558682e-126 2.04289304985713e-123
IFIT2 5.26354178352559 9.53505965217733 804.806291840505 4.86508739598976e-177 4.21917549876923e-174
ZRSR1 -5.25444436067167 -0.518991279292386 57.012376178983 4.33077893931292e-14 6.89510517303351e-13
GBP5 5.21668510989521 1.91544125987388 268.625776235662 2.26161206332145e-60 2.77857888746235e-58
MIR155HG 5.20721103247495 2.23164922268043 284.203686634904 9.11095478289934e-64 1.21011537265122e-61
IL1A 5.18196619004906 8.22222115993393 925.165309275269 3.3209925125088e-203 4.45103569199248e-200
SMTNL1 5.16325311481361 0.518477795834828 129.012482201671 6.73932198461587e-30 3.22590337724649e-28
RSAD2 5.08541950960536 7.3438524766767 1056.10155276937 1.14852014490852e-231 5.64421083212876e-228
INHBE 4.99222224275038 1.26714206901501 171.098562992301 4.25827579665156e-39 2.98951238428733e-37
ATF3 4.95280775834649 7.17011245877507 814.695499455773 3.44374535590704e-179 3.17319611138359e-176
LOC286059 4.90157908760747 -0.518163057255395 66.2344557499666 4.00352583195903e-16 7.85938499874461e-15
IFIT3 4.86219652241643 8.22568063421213 955.333439583134 9.19154591519246e-210 1.69388701784603e-206
ETV7 4.85298118310554 4.06191972164469 440.408460421791 8.82164508274244e-98 2.40847247138652e-95
OAS2 4.83393049955072 8.63387052380814 981.04623680128 2.36684704735322e-215 6.9788852038257e-212
TRAF1 4.79478984497399 3.97902489163008 460.827625767539 3.17530870885494e-102 9.00261082589391e-100
TNFRSF9 4.72780362501992 2.57077523073083 301.69073565379 1.41065369103128e-67 2.14404818215198e-65
WFDC5 4.70449097043248 -0.260683485681315 77.8267933402724 1.12483961690782e-18 2.72307232710541e-17
RPS10-NUDT3 4.70051177996545 1.37033270543474 15.5102412051017 8.20594642873957e-05 0.000299085953520167
CMPK2 4.65662743297418 6.68584082195041 399.03764332189 8.9213016880215e-89 2.05510548103908e-86
XAF1 4.61666373766498 4.76456700161102 495.086372164091 1.11451778671953e-109 3.65140793991245e-107
SERPINE1 4.61406533448029 4.76412525873299 417.114954330238 1.03613339187735e-92 2.63374389593926e-90
VCAM1 4.559657567839 1.99238241969265 223.315311145132 1.71101446054739e-50 1.68169907945667e-48
IFIT1 4.49276488121199 8.56231886482855 966.608223513503 3.25505147174535e-212 7.99820397465695e-209
DUOXA2 4.47386228499695 1.20585470265844 135.82027214024 2.18433708741448e-31 1.15013148856256e-29
MIA-RAB4B 4.42657511972715 0.1727681069521 84.5211043461486 3.80135441787397e-20 1.0534467703518e-18
KIF6 4.41587309581825 -0.927805565722507 45.9569205848156 1.20882140064411e-11 1.46318997616552e-10
PGLYRP2 4.3881084967799 -0.18328582460593 71.9974433342916 2.15476363067825e-17 4.75564074956428e-16
DUOX2 4.36086635991722 2.11772943977703 245.374066573534 2.64832893828458e-55 2.95790254069163e-53
CXCL9 4.33298407596772 0.675835381617422 100.520452580806 1.17180668377396e-23 4.07451555162252e-22
KMO 4.3171346296719 0.608301273734259 121.396011669368 3.1298404416183e-28 1.38153406080176e-26
PCK1 4.31012780000139 0.873140268582183 135.129429215464 3.09332710307677e-31 1.61719579718655e-29
BST2 4.26665511649173 1.4729985652608 173.949928699231 1.01512399489784e-39 7.26503546445578e-38
IL8 4.26228584887049 11.0508188770862 544.317480778188 2.16860537446606e-120 8.64101325290626e-118
NLRP3 4.25886061286027 0.880757285250649 136.592972686132 1.48018311600166e-31 7.84976247453685e-30
SLC15A3 4.23159871304949 3.98461591855408 403.911320331945 7.75353233692929e-90 1.81444963878331e-87
EPSTI1 4.20332237146266 5.07235956520153 540.022521805346 1.8643735692379e-119 7.23327882401955e-117
BATF2 4.17200184816639 5.50899010030537 463.709584901226 7.49253001927436e-103 2.16592882498357e-100
IL1B 4.16948109029545 7.07298841448354 653.632840419901 3.62279139280788e-144 2.13643254016666e-141
ZBTB20 4.10382555186909 1.26563243029525 151.269274119807 9.15238228182223e-35 5.35450682463909e-33
GBP1 4.09228151576464 6.97388485965963 623.924939615167 1.0473730361203e-137 4.67921838530955e-135
IFI44L 4.07274238878879 6.66921534839392 539.354365414968 2.60548816118576e-119 9.84941332316967e-117
BCL2A1 4.06687542683491 1.79519516318201 199.17048075494 3.16849772561358e-45 2.73176385781995e-43
NFKBIA 4.0408600930703 8.21113886609268 681.122702585176 3.80869745288686e-150 2.33965110616296e-147
