Gene	SAMN14563423_Series7_Calu3_Mock_1	SAMN14563422_Series7_Calu3_Mock_2	SAMN14563421_Series7_Calu3_Mock_3	SAMN14563420_Series7_Calu3_SARS-CoV-2_1	SAMN14563419_Series7_Calu3_SARS-CoV-2_2	SAMN14563418_Series7_Calu3_SARS-CoV-2_3
KIAA0855	0.0	0.0	0.0	0.0	0.0	0.0
GOLGA5	24.04	16.75	19.66	28.4	27.83	19.51
COX20	20.87	20.79	22.51	16.01	16.93	11.92
SLMO2	60.73	35.98	43.62	75.86	69.33	48.36
PARP16	5.3	3.2	3.57	2.64	3.64	2.15
PCDHA12	0.16	0.09	0.18	0.0	0.0	0.03
SKP2	12.15	7.22	12.65	4.71	4.68	3.81
PRKAB2	6.78	3.77	5.56	10.37	10.45	6.99
FAM109A	8.77	9.69	9.04	11.51	12.33	9.57
SSTR2	0.75	1.18	1.29	3.58	5.39	3.38
CXCL10	2.32	1.15	1.91	132.33	130.42	104.77
PAPD5	6.74	4.06	7.63	12.79	9.66	9.44
AK301666	0.0	0.0	0.0	0.0	0.0	0.0
PACRG	0.56	0.07	0.51	0.33	0.26	0.1
FANCF	9.41	7.52	8.5	8.2	11.76	6.58
OR10H3	0.0	0.0	0.0	0.0	0.0	0.0
SSX4B	0.0	0.0	0.04	0.0	0.0	0.0
LINC00620	0.0	0.0	0.0	0.0	0.0	0.0
AK130481	0.37	0.15	0.27	0.51	0.49	0.4
OR6C6	0.0	0.0	0.0	0.0	0.0	0.0
BC114339	0.83	0.0	0.77	2.25	0.0	1.45
FMO3	0.0	0.0	0.0	0.12	0.0	0.1
RIPK2	26.51	17.36	21.33	68.55	76.31	51.67
TCRAVN1	0.0	0.0	0.0	0.0	0.0	0.0
JAKMIP1	0.22	0.0	0.03	0.0	0.0	0.0
EGR4	0.11	0.13	0.17	0.81	0.72	1.35
LOC286297	0.0	0.12	0.17	0.0	0.31	0.21
XAGE1C	0.0	0.0	0.0	0.08	0.0	0.0
SLC35B1	118.56	115.39	123.07	80.1	75.47	72.1
SH3TC1	0.56	1.26	0.84	2.9	3.31	3.44
ITK	0.0	0.0	0.0	0.0	0.0	0.02
SH3BGRL	98.66	51.34	69.26	76.86	97.06	54.76
STAU2-AS1	0.0	0.25	0.36	0.66	0.33	0.28
C19orf77	4.48	5.21	4.49	2.81	3.17	2.85
MIR518E	0.0	0.0	0.0	0.0	0.0	0.0
TACR3	0.0	0.0	0.0	0.0	0.0	0.0
COQ7	12.27	8.81	9.49	9.69	10.03	8.31
BC038574	0.56	1.25	1.29	1.15	0.98	1.7
CARS	30.99	26.33	30.15	73.18	71.74	54.44
CRYBB1	0.0	0.0	0.0	0.0	0.0	0.0
DBIL5P	0.74	0.47	0.36	0.62	0.79	0.36
OR5L2	0.0	0.0	0.0	0.0	0.0	0.0
DQ590589	0.0	0.0	0.0	0.0	0.0	0.0
BRCA1	15.59	14.54	16.4	10.95	11.69	7.69
IL26	0.0	0.0	0.0	0.0	0.0	0.0
C2orf16	0.1	0.24	0.25	0.39	0.8	0.45
DQ573186	0.0	0.0	0.0	0.0	0.0	0.0
TRPM6	0.0	0.02	0.03	0.14	0.0	0.06
PKD2L1	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD6	63.22	69.57	64.16	33.44	32.73	29.05
DKK2	0.0	0.0	0.0	0.0	0.0	0.0
AX747205	0.51	1.33	1.06	1.49	1.61	1.09
CPSF4L	0.0	0.0	0.09	0.18	0.0	0.14
LCORL	3.49	1.73	2.24	2.93	3.82	2.29
MIR127	0.0	0.0	0.0	0.0	0.0	0.0
Mir_649	0.0	0.0	0.0	0.0	0.0	0.0
AX746484	0.0	0.0	0.06	0.04	0.0	0.09
WDR81	2.1	3.55	2.83	2.64	1.09	2.15
CHD3	35.51	38.43	33.95	27.97	26.87	23.62
MAL	1.09	0.14	0.22	0.0	0.0	0.22
KCNH3	0.57	0.51	0.63	0.2	0.0	0.12
STMN4	0.0	0.0	0.0	0.17	0.0	0.07
OR11H12	0.0	0.0	0.0	0.0	0.0	0.0
ZNF609	11.48	7.91	12.04	17.41	14.09	13.2
POT1	9.92	6.74	9.25	14.01	12.97	8.95
SNORD116-13	0.0	0.0	0.0	0.0	0.0	0.0
CALCA	1.23	0.37	0.31	0.24	0.45	0.09
KHDC3L	0.0	0.0	0.0	0.0	0.0	0.0
KLHL41	0.33	0.08	0.06	0.0	0.0	0.04
CCDC23	27.59	20.4	24.75	22.21	24.6	19.47
MOV10L1	0.0	0.0	0.0	0.0	0.0	0.0
GABRA2	0.0	0.0	0.0	0.0	0.0	0.0
LHCGR	0.0	0.0	0.0	0.0	0.0	0.0
