Genes	SAMN14563423_Series7_Calu3_Mock_1	SAMN14563422_Series7_Calu3_Mock_2	SAMN14563421_Series7_Calu3_Mock_3	SAMN14563420_Series7_Calu3_SARS-CoV-2_1	SAMN14563419_Series7_Calu3_SARS-CoV-2_2	SAMN14563418_Series7_Calu3_SARS-CoV-2_3
SPIRE1	507	654	2103	1602	844	1529
SOX30	4	4	4	7	6	6
GOLPH3	892	1035	3343	1318	826	1465
ADRA1A	0	3	4	2	1	2
AQP9	0	0	0	0	0	0
DQ597408	0	0	0	0	0	0
LINC00086	14	23	83	38	22	53
LOC646471	18	16	81	20	11	34
MLLT10P1	0	1	4	5	2	3
SNORD114-3	0	0	0	0	0	0
Mir_633	0	0	0	0	0	0
FKSG51	14	13	31	27	14	31
ABCA9	0	2	2	5	0	1
RNU6-19P	0	0	0	0	0	0
HAUS5	235	454	990	414	232	442
ANHX	0	0	0	0	0	0
LOC154761	20	32	55	19	20	18
NQO2	83	204	430	120	43	150
LINC00478	0	1	0	0	0	0
ATP5G2	928	2068	3837	1548	798	1791
DD157417	0	0	0	0	0	0
LRRC29	11	25	71	28	19	32
IARS	981	1420	3620	2513	1285	2366
AX748420	0	5	7	7	7	10
LCK	11	29	90	37	22	26
AK055785	27	54	147	84	31	79
UTP3	293	495	1008	687	369	647
ATRAID	1047	2023	4301	1318	686	1478
AX746622	3	0	8	2	1	4
SPINT1	871	1930	4204	2214	1285	2790
SNORD44	0	0	0	0	0	0
MAP4	1611	2787	6995	3945	2111	4253
CHST13	18	33	39	13	7	17
CYP2F1	0	4	5	2	1	5
GRP	0	0	0	0	0	0
RAB5A	533	580	1619	1218	776	1102
BC028746	0	0	0	0	0	0
PRPF4B	376	391	1204	737	422	629
NOTCH1	126	205	652	349	146	430
OSBPL8	292	241	1115	624	370	509
ATAD3A	468	1073	1990	546	221	666
CTSO	109	131	415	469	267	383
AK002090	0	0	0	0	0	0
SH2D3C	0	0	1	2	0	4
MMP16	33	20	132	39	23	40
SNORD116	0	0	0	0	0	0
SULT1E1	1	4	7	11	1	8
EVL	54	141	264	66	39	70
TMEM158	37	64	109	17	22	47
FAM131C	15	27	92	32	9	39
DQ572814	0	0	0	0	0	0
GNAT3	0	0	0	0	0	0
LINC00514	21	24	77	21	10	45
AK057455	0	2	0	1	0	0
TREH	3	5	11	6	1	1
DCLRE1A	147	190	508	286	148	252
MMAA	41	47	137	105	64	106
SAA4	9	0	25	72	69	55
TMED8	14	17	101	21	15	31
AK055853	2	1	6	0	0	1
TM7SF3	1271	1941	4939	1473	870	1539
AK000154	38	58	138	52	50	67
PLN	0	0	0	0	0	0
UBA6	345	283	1121	1130	530	967
MIR5004	0	0	0	0	0	0
LINC00111	0	0	0	0	0	1
OXTR	19	40	74	84	50	94
CXCL14	3	4	6	3	0	2
BC041346	0	1	0	0	0	0
PLGLB2	0	3	11	1	2	3
B3GNT5	353	324	1114	2011	1239	1754
OASL	364	763	1533	9079	4423	9578
GALNTL6	0	0	0	0	0	0
CAND2	4	4	10	7	1	7
OR1J1	0	0	0	0	0	0
IDH1	2427	3528	8867	2972	1750	2988
NLRP14	0	0	4	0	0	0
DQ584769	0	0	0	0	0	0
GID4	77	113	273	178	118	164
SNORA12	0	1	0	0	0	0
MIR629	0	0	0	0	0	0
AK126852	0	0	2	0	0	0
SBF2-AS1	9	28	56	32	24	36
ERP27	11	17	27	13	9	15
OR13C8	0	0	0	0	0	0
HLA-DRA	3801	6895	15951	9014	4635	9612
ARHGDIB	318	572	1109	424	255	414
DQ592387	0	0	0	0	0	0
BC038792	0	0	0	0	0	0
DNAJC18	63	118	202	136	62	94
MIR219-2	0	0	0	0	0	0
TTC28-AS1	35	99	143	119	94	131
OR1N2	0	0	0	0	0	0
TCRBV11S1A1T	0	0	0	0	0	0
BC037347	0	0	1	0	0	0
HLA-DQB1	2335	5001	10608	4938	2531	5165
GALNT16	78	175	371	95	37	102
TTTY1B	0	0	0	0	0	0
P775P	0	0	1	1	0	1
AUTS2	0	1	0	0	0	0
BC015435	0	3	4	2	0	1
PBLD	70	50	161	72	49	58
HPN	41	152	310	102	62	166
