logFC	logCPM	LR	PValue	FDR
Gm12338	8.30951990984999	1.49121736436314	77.914609950797	1.07592625890536e-18	9.91434402691324e-16
Brms1	-8.07944480694687	1.12530292887049	85.7338600396915	2.05857622121078e-20	2.93159968229699e-17
Phf11c	7.89194294155162	1.12751212144337	62.7488937294825	2.34813444623455e-15	9.94149354061195e-13
BC035532	7.7554088584387	0.996502285408421	57.455748712353	3.4566940298284e-14	9.8452930867749e-12
AK039860	6.51214793279253	1.71138560593543	52.4902835201763	4.32382284570863e-13	9.2784499832912e-11
Setdb2	6.23838329407195	3.05986367376862	129.317314212511	5.779868369603e-30	4.52708190049155e-26
Omg	5.64452828770018	0.954890975265061	45.6630683968857	1.40445936468379e-11	2.17830256908629e-09
GU332589	-5.52512903588936	1.93594814445137	99.3070290007436	2.16239211033145e-23	5.64564540139037e-20
Prss48	5.42245144736642	0.75710407276853	40.6441305526096	1.82635009809248e-10	1.85777755107914e-08
Gm6904	5.08565107390758	1.16910897336002	61.5524606504337	4.31102558901494e-15	1.73159527825433e-12
AK040321	5.03845430163274	1.12904000533982	45.3142275704899	1.67825518744699e-11	2.50730580187709e-09
AK041619	4.77772616188643	1.39647207510081	40.9708538314308	1.54516442417449e-10	1.64659868739411e-08
AK153212	4.77533938271328	4.07381359992984	87.5307585607748	8.29792852419421e-21	1.44430055923892e-17
KY468155	4.75338051381366	0.229379254235251	34.1115758763511	5.20407580410238e-09	2.98498781024154e-07
Bhlhe23	-4.72340851591198	0.86767228115938	52.8864749299338	3.53394651304457e-13	7.90846744669189e-11
Uchl4	4.23847729026632	1.19863292713902	43.8508278229435	3.54381228348547e-11	4.66502684208402e-09
AK083476	4.22047410148506	1.77584979797097	44.0868605254085	3.14122470011236e-11	4.23618928815492e-09
Hoxd1	-4.18480416119654	0.738459098134237	42.9252339992216	5.68723283160697e-11	7.01500018166325e-09
Col11a2	4.03817359428509	4.53777853409437	79.2153002896912	5.56970625192536e-19	5.81662989576072e-16
