Gene	GSM4559630_Control1_1	GSM4559631_Control2_1	GSM4559632_Control3_1	GSM4559633_Ad5-hACE2-transduced1_1	GSM4559634_Ad5-hACE2-transduced2_1	GSM4559635_Ad5-hACE2-transduced3_1
Vmn1r129	0	3	0	0	2	0
Tec	171	82	67	184	144	108
Asb10	18	9	1	3	1	2
Glra1	11	6	32	9	2	3
Impact	232	165	119	231	374	300
DQ695455	0	0	0	0	0	0
Trim72	17	24	1	10	11	6
Rpl21	2399	1658	1343	1456	927	721
DQ691885	0	0	0	0	0	0
Galont	1	0	1	1	0	0
DQ563604	0	0	0	0	0	0
KY468244	0	3	0	0	2	1
Mir219a-2	0	0	0	0	0	0
Ehbp1	229	149	106	82	170	103
DQ546218	0	0	0	0	0	0
Plscr5	0	1	0	1	0	1
DQ711879	0	0	0	0	0	0
Gm8978	0	0	0	0	0	0
DQ540775	0	0	0	0	0	0
DQ691258	0	1	2	0	0	2
Khdc1a	8	0	0	2	1	0
Myo18b	23	27	14	16	12	16
Shank1	65	79	43	55	42	37
Olfr657	0	0	1	0	0	3
Gm10190	33	4	2	2	1	6
Snora43	0	0	0	6	2	3
Irf2bp1	202	102	163	246	253	243
Atp6v1c2	60	43	30	54	119	114
Pcdhgb5	51	18	39	34	149	82
Sec24b	680	475	589	868	880	684
Actg2	81	70	54	34	42	27
Wdr34	28	29	31	58	41	63
Ankrd24	61	37	43	24	57	47
AB349811	0	0	0	0	0	0
Nrtn	40	15	5	19	7	18
Ntrk1	9	12	2	6	1	4
Arc	18	25	20	37	11	19
Mir3473e	0	0	0	0	0	0
Nckap1l	1377	773	690	2319	1675	1607
Nudt16l1	108	60	67	87	64	39
Gm10767	7	1	1	5	7	0
Krtap19-5	0	0	0	0	0	0
Acot1	52	26	16	32	35	28
Serpinb12	4	0	0	0	1	2
Drosha	407	384	395	395	496	398
AK006677	0	0	0	0	0	0
A4galt	125	73	156	122	185	92
Nfix	2474	1732	1852	2130	2305	2136
Selenoh	83	19	11	10	17	15
Vmn1r237	2	0	0	0	0	0
DQ710218	0	0	0	0	0	0
AK019688	0	0	0	2	0	0
Olfr463	0	2	9	1	0	0
Olfr1490	8	5	10	0	1	1
Mir3081	0	0	0	0	0	0
Btnl6	3	2	7	5	5	5
Lim2	3	0	0	2	1	3
DQ542355	0	0	0	0	0	0
Ubd	45	65	57	175	106	152
Boll	0	0	4	2	2	2
DQ687099	0	0	0	0	0	0
Fgd4	6547	8287	7454	7148	6962	6861
Defa30	10	10	12	3	3	3
Caskin1	42	41	15	20	19	10
AK161373	1	7	9	10	1	3
AK160408	32	11	3	83	212	158
Vmn1r220	4	0	1	0	0	0
A930024E05Rik	2	22	18	12	22	10
DQ691089	0	0	0	0	0	0
DQ711633	0	0	0	0	0	0
Olfr350	4	6	5	3	0	1
Gm10510	0	0	1	0	0	0
Gm30332	0	0	2	2	2	1
Apc	2017	1152	1312	1215	1779	1307
3110035E14Rik	13	1	11	4	19	13
1700025G04Rik	379	192	200	179	142	137
Gm10662	4	18	15	19	3	2
DQ072380	12	4	0	0	2	0
Lamtor1	481	468	277	509	304	283
Tsga10ip	0	0	0	0	0	0
Capn3	35	18	22	4	8	6
Ccdc130	48	29	49	74	69	58
Mir883b	0	0	0	0	0	0
Fut11	131	91	119	132	239	179
G630064G18Rik	15	16	10	3	9	7
Ppargc1a	39	19	21	17	15	18
Cblc	11	9	17	23	22	40
Ciart	1	4	16	26	35	38
Fmo9	1	0	7	2	0	0
AK006572	3	0	0	2	0	0
AK079595	11	0	0	0	0	0
DQ562057	0	0	0	0	0	0
Qars	302	242	175	305	249	222
Map3k10	110	145	105	100	127	97
2610027K06Rik	30	29	25	13	48	25
Mir539	0	0	0	0	0	0
DQ561078	0	0	0	0	0	0
DQ712560	0	0	0	0	0	0
Itpr3	395	240	226	524	697	610
Ccdc121	24	20	13	11	3	6
1700007L15Rik	0	0	11	4	1	5
DQ694846	0	0	0	0	0	0
Sox30	6	22	21	6	1	5
AB347200	0	0	0	0	0	0
Cfap46	58	38	30	54	141	134
Jph3	12	25	32	11	3	5
D330045A20Rik	18	14	8	13	7	9
4931431C16Rik	28	11	2	12	3	4
Tyk2	355	311	340	677	688	544
Zswim4	172	148	176	365	344	216
Zbtb4	1226	900	954	980	1170	1108
Vezf1	992	738	690	864	806	668
Gm20110	4	0	1	1	0	2
Rbfa	72	37	38	55	48	40
Crybg3	526	386	359	296	431	295
DQ692655	0	0	0	0	0	0
Gm10220	31	17	41	19	5	10
Tbx22	1	2	2	1	1	2
AK039367	0	1	11	0	3	1
Eefsec	102	92	56	104	69	82
Gm5485	0	1	1	1	0	1
DQ692040	0	0	0	0	0	0
AK050290	4	0	4	7	8	6
AK081945	0	0	0	0	0	0
Flt3	25	6	29	50	38	28
Ywhaq	2017	1398	1330	1397	962	820
Eif4ebp3	0	0	5	0	2	1
Mirt1	135	50	65	66	83	60
DQ717113	0	0	0	0	0	0
Gm30505	0	9	3	1	4	2
DQ565041	0	0	0	0	0	0
Rn5s	0	0	0	0	0	0
Irf5	736	385	405	1942	981	1068
Arntl2	8	0	6	3	7	1
DQ545110	0	0	0	0	0	0
Mcpt8	1	0	0	13	5	3
BC051537	1	4	12	1	0	0
9430083A17Rik	2	5	9	8	7	4
Vmn1r45	4	11	5	3	0	1
Zfp81	63	33	7	28	46	32
Mir1956	0	0	0	0	0	0
Slc44a3	54	25	12	35	72	47
AK082431	1	1	16	1	8	5
DQ547675	0	0	0	0	0	0
Abcf1	829	434	551	714	609	554
Lrr1	13	14	4	5	1	3
Snx30	258	156	191	271	324	234
Hs3st3a1	26	33	8	18	4	5
Ermp1	176	113	107	182	229	220
Nsg2	14	15	11	27	12	23
Gypa	17	5	2	22	8	10
Tnfrsf19	143	98	152	73	206	122
Sprn	4	6	20	6	5	7
Ffar1	4	2	3	6	5	3
1700020N01Rik	2	1	0	3	0	1
Gm18853	0	0	0	0	0	0
Col4a3	380	197	312	277	1310	1022
Lin7b	0	0	1	0	0	1
Mir3104	0	0	0	0	0	0
AK042797	3	7	13	11	6	5
Cacna1f	1	10	16	4	1	5
DQ564762	0	0	0	0	0	0
Brat1	134	75	46	117	125	111
Alpi	8	9	19	2	2	3
AK051463	8	19	13	8	21	8
Ctsz	1335	739	496	1721	1090	976
Scarna10	0	0	0	0	0	0
Adra1b	35	91	78	20	43	14
AK033552	117	38	45	31	71	66
Olfr1352	14	1	0	1	0	0
Ak5	7	27	22	9	11	11
BC038063	125	101	56	91	167	142
DQ709297	0	0	0	0	0	0
Slc25a46	287	258	234	333	385	270
4930544G11Rik	15	0	2	0	0	0
DQ720628	0	0	0	0	0	0
Ly6g6c	10	18	10	12	2	1
Plaa	535	298	235	441	424	347
DQ725943	0	0	0	0	0	0
AK184121	0	0	0	0	0	0
DQ562530	0	0	0	0	0	0
Pknox2	284	195	197	144	191	180
Apba2	5	25	9	4	1	3
DQ687891	0	0	0	0	0	0
Mthfd1	259	150	209	184	180	160
Rab4a	57	14	40	20	24	23
DQ564973	0	0	0	0	0	0
AK009639	0	0	0	0	0	0
Trnau1ap	46	21	14	42	46	29
AK005839	0	0	0	0	0	0
Ift172	164	134	164	180	286	231
Cog3	269	179	149	235	314	210
Gm10406	1	0	0	1	4	1
AA543186	3	14	0	6	0	1
Kcng1	1	1	12	2	8	3
Ccdc167	194	250	245	517	377	470
Fmo5	141	104	106	57	53	58
Dll4	136	109	110	220	540	347
DQ688656	0	0	0	0	0	0
AK037776	6	0	1	3	1	0
Ccdc32	48	98	58	62	62	60
Mysm1	328	203	236	374	464	333
Reg3g	75	122	43	112	58	58
DQ714716	0	0	0	0	0	0
Acp6	50	31	43	80	63	67
Tmem183a	337	239	199	203	225	202
AK137017	5	6	0	17	24	20
DQ688687	0	0	0	0	0	0
Clvs1	5	10	11	0	1	2
BC020402	15	5	8	12	9	7
Sgsh	135	97	99	160	184	131
Olfr638	0	8	6	3	3	1
Gm10677	6	0	9	1	5	6
3110082J24Rik	0	4	4	1	0	0
Fnta	403	233	215	178	157	116
AK216043	0	4	0	0	0	0
AK006037	0	0	0	0	0	0
Pdik1l	156	67	102	114	146	111
DQ687587	0	0	0	0	0	0
Abcc8	1	4	8	2	7	10
4732414G09Rik	22	8	9	4	1	7
AK162911	9	3	7	4	5	8
Irx4	7	2	16	5	1	5
Olfr789	0	3	4	1	0	0
Exo1	22	28	5	28	21	16
Stoml2	209	111	104	155	104	79
Arhgap11a	154	82	103	114	93	69
Wfdc21	14	0	0	3	0	1
Pcdhgc5	12	5	11	52	207	104
Siah2	81	70	84	113	119	98
Mmp13	43	10	18	48	40	36
Gfral	2	1	0	1	0	0
DQ698995	0	0	0	0	0	0
Olfr742	0	12	16	2	0	1
Olfr998	0	12	0	1	0	0
Runx1t1	144	122	147	68	119	89
Gm4278	0	9	10	1	2	2
Gm10486	0	0	0	0	0	0
Akr7a5	52	29	30	17	23	15
4933416E03Rik	0	3	0	0	0	0
Col6a2	524	376	546	355	811	481
Trim7	21	25	38	32	32	35
DQ698885	0	0	0	0	0	0
Ccdc150	6	1	5	10	16	18
Gm2a	1114	628	423	1459	952	779
DQ708644	0	0	0	0	0	0
AB340533	0	0	0	0	0	0
Misp	70	92	59	213	152	150
4930565N06Rik	12	11	9	17	64	53
Tmem72	0	22	4	3	1	9
Mir7683	0	0	0	0	0	0
Zdhhc2	64	41	39	7	21	11
Tmem136	39	40	56	72	65	49
Camsap2	818	652	675	547	661	461
Mir6938	0	0	0	0	0	0
Parg	583	256	211	399	468	429
AK078979	12	0	1	3	4	0
Ftx	86	42	36	76	128	97
Spry1	259	164	224	191	267	189
Mir409	0	0	0	0	0	0
Thoc6	105	40	63	95	61	58
Cd320	5	5	29	10	17	10
DQ724532	0	0	0	0	0	0
DQ547044	0	0	0	0	0	0
AK019593	0	0	0	0	0	0
Galnt13	7	10	26	13	7	11
Mir7k	0	0	0	0	0	0
Lrch3	605	456	500	909	884	844
DQ711719	0	0	0	0	0	0
Gm45935	146	104	85	290	473	425
Gm21188	75	43	44	85	66	43
DQ715722	0	0	0	0	0	0
AK153603	11	4	17	37	54	34
A630095E13Rik	0	0	0	0	0	0
Fam161b	7	10	35	22	42	29
Syf2	497	324	301	448	334	241
DQ540970	0	0	0	0	0	0
DQ703652	0	0	0	0	0	0
DQ560765	0	0	0	0	0	0
AK131826	0	0	0	0	0	0
Mir325	0	0	0	0	0	0
BB287469	18	5	9	3	2	2
Vmn1r33	0	0	0	0	0	0
Abcc9	247	183	120	76	69	69
1700016P04Rik	0	0	0	2	0	2
2810047C21Rik1	21	35	23	39	20	16
Taf13	92	50	59	54	39	35
Trim36	84	69	62	99	69	80
Vmn2r11	0	2	12	3	1	4
Cfap52	0	6	9	7	7	7
Dnah17	23	10	21	47	83	78
AK042725	112	68	73	50	182	122
LOC102638913	4	0	4	0	0	1
AK138348	14	10	10	0	4	3
Zfy1	0	0	0	0	0	0
Trpm7	621	349	375	607	823	653
Hist1h2aa	1	0	2	2	0	0
Foxa2	74	64	71	63	79	64
Gdf7	2	12	7	9	2	1
Olfr967	0	1	0	1	0	0
AK006832	0	6	2	0	0	1
Nudt16	115	45	38	62	69	49
Mmp24	10	11	13	5	5	5
4930513D17Rik	0	0	0	1	0	0
St8sia3	1	18	30	5	2	11
FJ541081	0	0	0	0	0	0
Sesn3	237	133	157	193	189	172
AK151815	81	32	46	29	50	38
Ctrcos	0	1	0	0	0	1
2310001K24Rik	0	1	0	2	0	0
Exoc5	513	428	321	428	634	494
AK156771	0	0	0	0	0	0
DQ710955	0	0	0	0	0	0
Fhod3	23	19	33	11	15	14
Adamts12	32	41	26	23	72	33
Tas2r131	11	0	2	0	0	0
Cdcp2	3	3	7	7	4	7
Mtif2	116	68	48	77	99	109
Acot11	69	57	16	86	64	71
DQ553428	0	0	0	0	0	0
AK165223	24	16	11	20	21	30
AK036982	4	16	5	36	5	13
Enpp5	129	99	58	118	266	188
DQ713164	0	0	0	0	0	0
Mir7002	0	0	0	0	0	0
Gpn1	82	69	28	64	63	57
Jhy	8	8	13	31	34	26
Galk2	133	111	77	124	126	89
Acsf3	43	44	36	35	72	60
Phf1	331	138	250	372	475	469
Naa50	1010	712	663	676	694	689
AK172081	0	8	4	30	80	96
Anapc13	77	76	58	35	25	25
Hist1h2bq	8	6	30	10	12	22
Eed	140	111	103	167	155	90
Rab35	530	451	436	695	441	472
Scarna6	41	5	62	123	75	60
AK028243	0	0	0	0	0	0
DQ563349	0	0	0	0	0	0
9330179D12Rik	1	18	11	7	3	4
AK148849	19	6	11	8	3	2
Trpt1	30	19	33	23	39	15
Dgkz	1191	814	814	1170	1141	1060
Gpr82	4	11	1	5	29	23
Clcn1	0	6	9	10	8	3
Tecpr1	363	347	270	300	454	369
Mir5132	0	0	0	0	0	0
Pcdhb3	12	13	20	10	33	13
KC202832	0	0	0	0	0	0
Msmb	0	0	0	0	0	0
