Gene	GSM4559630_Control1_1	GSM4559631_Control2_1	GSM4559632_Control3_1	GSM4559633_Ad5-hACE2-transduced1_1	GSM4559634_Ad5-hACE2-transduced2_1	GSM4559635_Ad5-hACE2-transduced3_1
Fam205a2	0	0	0	0.08	0	0.05
4930407I10Rik	0.04	0.05	0.31	0.15	0.08	0.17
Olfr1436	0	0	0.09	0	0	0.18
Vmn1r187	0	0	0.1	0	0	0
AK039860	0	0.01	0	0.24	2.38	1.66
Olfr156	0.05	0.19	0.04	0.15	0	0.15
KY468023	0	0	0.16	0	0	0
Fam58b	0.43	1.51	2.15	1.78	3.1	1.76
Mpp6	1.53	1.4	1.84	1.95	2.95	2.56
Atp2a2	2.79	3.3	3.65	10.73	27.53	21.5
Snhg12	0.25	0.87	0.31	1.47	1.77	1.71
EF651833	0	0	0	0	0	0
Slc25a39	7.83	10.06	9.17	21.23	22	19.69
Nudt14	1.18	1.55	1.09	2.13	2.95	1.14
Gm732	0	0.08	0.07	0.06	0	0.05
DQ556983	0	0	0	0	0	0
DQ557193	0	0	0	0	0	0
Olfr126	0	0.23	0	0.06	0.09	0.09
AK218226	0	0	0	0	0	0
Pisd	1.63	1.79	2.58	6.2	11.19	8.34
Olfr487	0	0	0.09	0	0	0
AK051203	0	0.11	0.19	0.04	0.13	0.22
Gm4956	0.09	0.36	0.1	0.1	0.3	0.29
1700096K18Rik	0.32	0.85	0.46	0.29	0.85	0.5
Trip4	0.83	1.04	0.98	2.05	3.06	3
Bola3	4.05	7.33	5.93	7.45	6.25	3.63
Enox1	0.09	0.18	0.18	0.31	0.3	0.13
AK053313	0.13	0.31	0.15	0.55	1.54	0.94
AK207024	0	0	0	0.9	2.26	0
Mup17	0	0	0	0	0	0
Hmgcll1	0.07	0.36	0.26	0.51	1.21	1.25
Rrp8	1.02	1.39	1	1.99	2.87	2.24
Ccdc28a	0.46	0.61	0.29	1.53	1.86	1.7
Prss36	0.64	0.53	0.3	0.5	0.87	0.42
DQ697776	0	0	0	0	0	0
Mcemp1	2.9	1.51	2.09	7.52	9.16	6.99
Chst8	0.17	0.39	0.45	0.65	1.28	0.77
Rab32	2.06	3.06	2.02	8.17	8.05	7.26
1700012C14Rik	0.81	0	0	0	0	0
Dmap1	0.84	1.05	0.41	2.19	4.1	3.14
Gm11186	0	0	0.03	0.19	0	0
AK138667	0.01	0.2	0.09	0.11	0.54	0.25
Zwint	2.79	3.19	4.77	10.63	16.89	14.14
Tmem59l	0.05	0.13	0.12	0.04	0.22	0.16
Olfr1428	0.2	0	0.51	0.12	0	0
Msrb1	21.62	19.69	17.42	68.03	76.9	59.81
DQ549743	0	0	0	0	0	0
Mageb3	0.05	0.03	0.21	0.07	0	0.03
Snx20	2.07	2.71	1.6	7.85	8.32	6.61
Zfp420	0.08	0.62	0.17	0.51	0.51	0.41
Exosc4	1.09	0.68	0.61	1.96	3.83	2.57
AK161456	0.09	0.11	0.12	0.18	0.2	0.48
Gatsl3	0.6	0.87	0.95	1.02	1.16	1.66
Pitpnm1	1.73	1.73	2.02	7.79	11.19	10.86
Zfp935	0.56	0.73	1.17	2.18	2.96	2.55
DQ564912	0	0	0	0	0	0
Srrd	0.67	0.75	1.02	1.67	2.27	3.88
Mir344h-1	0	0	0	0	0	0
Zbtb7c	0.12	0.45	0.26	0.23	0.26	0.33
BC038600	0	0.1	0.1	0	0	0.16
Usp50	0	0.06	0.09	0.06	0.37	0.32
Olfr516	0	0	0.56	0	0	0
Cltb	4.74	6.85	7.33	13.67	16.47	13.74
Ugt2b37	0	0	0.08	0.04	0.04	0.04
Zfp783	0.17	0.37	0.4	0.57	0.77	0.76
Rab26	0.03	0.28	0.05	0.19	0.11	0.11
AK131696	0	0.26	0.63	0.49	0.92	0.15
Gm5127	0	0	0.02	0.09	0.47	0.09
Auts2	0.62	1.06	1.09	0.9	2.95	2.49
AB343487	0	0	0	0	0	0
Btg1	10.39	10.61	11.32	32.22	39.58	36.37
Gm19757	0.91	2.61	3.72	3.75	3.56	4.13
DQ565491	0	0	0	0	0	0
Tbx3os2	0.26	0	0	0.04	0	0.06
DQ547924	0	0	0	0	0	0
Sppl2c	0	0.11	0.14	0.11	0.04	0.03
Vgll2	0.02	0.32	0.09	0.13	0	0.14
Wdr74	1.05	2.66	2.31	3.86	5.8	5.88
AK143933	0	0	0	0	0	0
Gpr137c	0.18	0.43	0.67	0.22	0.38	0.52
Kif20b	0.23	0.3	0.19	0.64	0.93	0.69
2900092C05Rik	0	0	0.05	0.07	0	0.42
Mus81	0.76	0.62	1.55	2.14	4.43	3.85
Snora30	0	0	0	0	0	0
Poc5	0.59	1.17	0.96	1.64	3.33	2.55
Ube3c	1.25	1.34	1.58	3.52	6.77	4.84
Nfx1	0.91	1.45	1.57	3.45	6.89	6.26
DQ563160	0	0	0	0	0	0
Gm6116	0.04	0	0.18	0.07	0	0
Olfr75-ps1	0.06	0.05	0	0	0.24	0
Mir6908	0	0	0	0	0	0
Lmtk3	0.02	0.13	0.15	0.09	0.31	0.28
Derl2	1.76	2.68	2.69	4.71	9.06	7.66
KY467868	0.19	0	0	0	0	0
Zdhhc25	0.11	0.02	0.08	0.04	0	0
Ncoa6	2	2.72	2.53	7.64	11.69	9.61
AK076896	0.08	0.41	0	0.39	0	0
DQ707432	0	0	0	0	0	0
DQ562932	0	0	0	0	0	0
Gm11529	0.03	0.05	0.33	0.05	0	0.04
Olfr1113	0	0	0.15	0.06	0.09	0
Ifitm2	65.61	71.99	80.24	246.07	257.87	223.5
Ipo8	1.43	2.25	1.89	3.03	5.25	4.05
DQ698470	0	0	0	0	0	0
Klhl31	0.02	0.15	0.1	0.08	0.11	0.09
Olfr1014	0.12	0.2	0.22	0.06	0	0.05
5330429B09Rik	1.63	3.86	5.15	7.8	23.22	15.73
Nell1	0.02	0	0	0.05	0	0
Tssk4	0.04	0.27	0.12	0.15	0.43	0.38
Pex11g	0.04	0.4	0.77	0.34	1.22	0.97
Epb41l1	0.83	1.17	1.41	2.83	5.24	4.41
KY467615	0	0.21	0	0	0.37	0.36
Svs3b	0	0.08	0	0.04	0	0.2
Snora35	0	0	0	0	0	0
Gm3448	1.12	0.19	0	0.3	0.14	0.48
Magi3	1.61	1.98	1.96	3.04	7.72	6.14
BC027568	0	0.27	0	0	0	0
Dnajc12	0.32	0.53	1.64	1.42	1.56	1.28
Dclre1c	0.5	0.9	0.8	4.9	6.77	5.93
AB352881	0	0	0	0	0	0
Rnf133	0	0.08	0	0.28	0.56	0.25
DQ545486	0	0	0	0	0	0
Mir5124b	0	0	0	0	0	0
Akap9	0.72	0.59	0.57	2.75	10.5	8.65
Tmem35b	0.64	0.64	0.24	2.03	2.56	2.22
Elk4	10.67	10.76	13.37	22.06	36.83	26.69
Cypt15	0	0	0	0	0	0
1700019E08Rik	0	0	0	0	0.16	0
DQ695813	0	0	0	0	0	0
Mir5118	0	0	0	0	0	0
Slc39a6	0.39	0.66	0.69	1.57	3.82	2.99
Mir6910	0	0	0	0	0	0
AK007845	0	0	0	0.68	0	0
Rassf8	6.47	7.53	9.93	5.2	9.92	7.95
Mir7003	0	0	0	0	0	0
Klk1b21	0	0	0.09	0	0	0
Mas1	0.01	0.37	0.07	0.11	0.27	0.61
AK194371	0	0	0.28	0	0	0
Foxg1	0.05	0.27	0.36	0.22	0.08	0.18
Micu3	0.31	0.16	0.17	0.3	0.84	0.62
Smarca2	11.75	12.6	17.86	13.79	30.66	22.38
FJ541127	0	0	0	0	0	0
E130317F20Rik	0	0	0.37	0.61	1.07	0.22
Slfn4	6.94	6.89	7.6	78.67	191.81	192.01
AK034568	0.64	0.97	0.51	0.54	1.58	1.38
DQ707290	0	0	0	0	0	0
Adrb1	1.18	1.76	1.82	4.26	12.34	7.67
Arrb2	8.6	9.33	12.24	47.36	43.74	49.66
Rpl14-ps1	0	0	0	0	2.17	3.69
Spata7	0.23	0.41	0.25	0.96	1.11	1.28
D930032P07Rik	0.05	0.23	0.37	0.12	0.14	0.31
DQ709763	0	0	0	0	0	0
Lmtk2	0.8	1.13	1.06	3.58	9.48	7.46
Ttc27	0.3	0.61	0.83	0.8	2.04	1.45
Mir7094-2	0	0	0	0	0	0
Gm14137	0.05	0.12	0.21	0.27	0.45	0.39
Sft2d3	0.38	0.1	0.29	0.58	1.47	0.86
TRNA_Cys	0	0	0	0	0	0
Pgrmc2	2.19	2.32	2.34	4.33	7.49	6.75
