Gene	GSM4658803_SRR12164495_Control3_read1	GSM4658804_SRR12164496_Control1_read1	GSM4658805_SRR12164497_Control2_read1	GSM4658807_SRR12164499_Sample1_read1	GSM4658808_SRR12164500_Sample2_read1
PCYT2	8598	9097	10450	966	1038
SLC5A9	10	18	20	0	0
CRYZL1	1199	1221	1334	82	92
ENSCSAG00000027688	0	0	0	0	0
PRDM16	0	1	1	1	0
PDCD2	2507	2650	2981	212	260
ENSCSAG00000015837	0	0	0	0	0
ENSCSAG00000020972	0	0	0	0	0
MARVELD2	554	638	728	75	101
KCNJ8	1550	1617	1889	127	134
ENSCSAG00000021792	0	0	0	0	0
ENSCSAG00000021836	0	0	0	0	0
ZNF512B	3703	4033	4410	383	428
ABHD12B	0	0	1	0	0
CSTF2T	0	0	0	0	0
MISP3	75	94	108	8	15
ENSCSAG00000003898	0	0	0	1	3
AP1S3	293	319	323	57	69
ENSCSAG00000018539	0	0	0	0	0
WARS1	4284	4645	5235	434	433
GON4L	2001	2271	2254	276	285
TAS2R4	0	2	2	1	0
ENSCSAG00000024620	0	0	0	0	0
C1orf122	1063	1042	1350	92	121
PIGR	55	85	100	12	11
PRIM2	760	791	809	50	86
RMI1	604	595	600	40	66
RAPGEF4	193	192	227	30	28
ENSCSAG00000021513	0	0	0	0	0
CEP85L	572	557	606	135	169
ENSCSAG00000005593	286	317	314	43	34
ENSCSAG00000018400	0	0	0	0	0
TRBV23-1	0	0	0	0	0
RNU4ATAC11P	0	0	0	0	0
FILIP1	15	10	21	3	3
C12orf54	0	0	0	0	0
ENSCSAG00000003763	0	0	0	0	0
SCARF1	91	95	108	8	8
ENSCSAG00000027071	0	0	0	0	0
TIMM13	412	415	500	35	32
COG7	641	684	722	52	84
TP63	0	0	0	0	1
ENSCSAG00000010442	706	732	856	60	92
EIF3M	2585	2724	2984	261	336
CYRIB	3549	3852	4187	345	435
ENSCSAG00000015431	41	36	37	8	13
SESN3	26	30	42	2	1
IL31	2	0	0	0	0
PBX4	10	18	17	3	1
ENSCSAG00000001624	201	243	217	29	35
S100A12	0	0	0	0	0
SERPINA2	5	1	2	0	0
ENSCSAG00000022542	0	0	0	0	0
DRD3	0	0	0	0	0
SOCS4	616	649	673	74	58
IGBP1	1630	1730	1964	129	165
ENSCSAG00000013051	0	0	0	0	0
ATP13A5	0	0	0	1	0
TMEM126A	313	282	358	29	32
ENSCSAG00000025743	0	0	0	0	0
ENSCSAG00000022042	0	0	0	0	0
ENSCSAG00000004007	0	0	0	0	0
PRR23B	0	0	0	0	0
ITGB8	149	166	206	46	45
ENSCSAG00000023096	0	0	0	0	0
ENSCSAG00000023420	0	0	0	0	0
ENSCSAG00000022293	0	0	0	0	0
ENSCSAG00000025074	0	0	0	0	0
CLDN11	2	4	0	1	0
CABLES2	459	430	495	43	50
ENSCSAG00000020415	0	0	0	0	0
EVC2	493	536	583	87	111
TMEM182	288	267	289	11	9
