Gene	HumanOrtho	GSM4658803_SRR12164495_Control3_read1	GSM4658804_SRR12164496_Control1_read1	GSM4658805_SRR12164497_Control2_read1	GSM4658807_SRR12164499_Sample1_read1	GSM4658808_SRR12164500_Sample2_read1
CDHR5	CDHR5	0.01	0.03	0.02	0.03	0.01
UNC5CL	UNC5CL	0.02	0.07	0.04	0	0
TMEM175	TMEM175	3.57	3.66	3.31	0.97	1.1
GLIPR2	GLIPR2	3.98	3.69	3.31	0.98	0.62
ENSCSAG00000026203	NA	0	0	0	0	0
PRR32	PRR32	0	0	0	0	0
C15orf48	C15orf48	0.3	0.4	0.3	0.17	0
ENSCSAG00000025114	NA	0	0	0	0	0
ENSCSAG00000020632	NA	0	0	0	0	0
ENSCSAG00000025823	AL137060.1	3.72	3.18	1.59	0.29	0.8
ENSCSAG00000022482	NA	0	0	0	0	0
ENSCSAG00000024846	NA	0	0	0	0	0
snoZ196	AC007383.4	0	0	0	0	0
UBL3	UBL3	7.47	6.87	6.13	1.08	1.3
KRTAP19-3	KRTAP19-3	0	0	0	0	0
SFTPB	SFTPB	1.83	2.12	1.63	1.07	0.98
HOOK2	HOOK2	2.59	2.69	2.29	0.64	0.71
ENSCSAG00000021579	NA	0	0	0	0	0
TAAR2	TAAR2	0	0	0	0	0
PXDC1	PXDC1	13.8	14.44	13.25	6.48	6.67
ERCC2	ERCC2	9.7	9.64	9.1	2.29	2.24
UBXN11	UBXN11	2.28	2.6	1.97	0.7	0.72
ENSCSAG00000000544	NA	0	0	0	0	0
NEB	NEB	0.05	0.06	0.04	0.02	0.01
DHRSX	DHRSX	4.22	3.48	3.27	1.24	1.47
ENSCSAG00000021042	AC012354.4	0	0	0	0	0
MNT	MNT	3.18	3.01	2.76	1.07	0.89
ENSCSAG00000024512	NA	0	0	0	0	0
TSPO	TSPO	41.64	39.31	37.15	7.69	7.98
ACADS	ACADS	15.2	14.59	13.6	2.98	2.87
ENSCSAG00000027347	NA	0	0	0	0	0
CTXN2	CTXN2	0	0	0	0	0
PFAS	PFAS	10.69	11.69	9.99	2.59	2.9
TMED8	TMED8	6.96	6.81	6.3	1.85	2.32
PSMB2	PSMB2	62.49	62.43	56.76	13.13	12.61
TMEM165	TMEM165	7.24	6.93	6.02	1.72	1.48
SRBD1	SRBD1	13.71	12.83	11.03	2.01	2.3
ENSCSAG00000027423	NA	0	0	0	0	0
ENSCSAG00000000017	NA	0	0	0	0	0
ENSCSAG00000008421	NA	0.04	0	0	0	0
C17orf50	C17orf50	0.78	0.61	0.39	0.12	0
ENSCSAG00000006484	NA	0	0	0	0	0
ZNF875	ZNF875	0.34	0.36	0.42	0.07	0.13
WASF3	WASF3	4.8	4.98	4.53	1.65	2.09
RUBCN	RUBCN	2.84	2.7	2.32	1	0.96
C2orf74	C2orf74	1.31	1.05	1.27	0.29	0.63
PIK3CA	PIK3CA	6.18	5.95	4.79	1.68	1.85
OR2V2	OR2V2	0.02	0.07	0.07	0.05	0.09
ENSCSAG00000008839	ZNF286A	0.62	0.57	0.59	0.12	0.31
ENSCSAG00000011762	NA	0	0	0	0	0
ENSCSAG00000018727	NA	42.62	43.62	36.27	10.66	11.35
DYNC1I2	DYNC1I2	14.79	14.24	13.13	2.42	2.51
ENSCSAG00000017570	PSG6	0.09	0.17	0.09	0.15	0.1
ENSCSAG00000018319	NA	0	0	0	0	0
LAMB4	LAMB4	0.01	0	0.01	0.01	0
ENSCSAG00000020434	NA	0	0	0	0	0
ENSCSAG00000025582	NA	0	0	0	0	0
ENSCSAG00000026969	MIR513A2	0	0	0	0	0
ENSCSAG00000023482	NA	0	0	0	0	0
MMP10	MMP10	18.2	17.02	15.64	1.9	1.47
ENSCSAG00000023255	NA	0	0	0	0	0
ARFGEF3	ARFGEF3	3.96	4.75	3.72	1.39	1.21
A1BG	A1BG	0	0.01	0.01	0	0
ENSCSAG00000020658	NA	0	0	0	0	0
RGS3	RGS3	11.1	11.27	9.91	3.94	3.96
NTNG1	NTNG1	0	0	0	0	0
SNX14	SNX14	4.57	4.22	3.51	0.91	1.14
ABCC8	ABCC8	0.02	0.02	0.03	0.03	0.01
ELMO1	ELMO1	0.02	0.01	0.02	0.01	0.02
NCAN	NCAN	0.01	0.01	0.01	0	0
ENSCSAG00000016619	NA	18.87	18.07	17.41	4.44	5.24
SERPINA6	SERPINA6	0.38	0.42	0.36	0.08	0.09
WFDC11	WFDC11	0	0	0	0	0
SNORD45B	SNORD45B	0	0	0	0	0
OR13H1	OR13H1	0	0	0	0	0
ENSCSAG00000025198	NA	0	0	0	0	0
MAT1A	MAT1A	0	0	0.01	0	0
CLEC1A	CLEC1A	0	0	0	0	0
ERCC1	ERCC1	4.63	4.54	4.16	1.59	1.33
ENSCSAG00000017377	NA	0	0	0.05	0	0
ENSCSAG00000022571	NA	0	0	0	0	0
SNORA40B	SNORA40B	0	0	0	0	0
PTPN21	PTPN21	1.61	1.63	1.4	0.87	0.74
SNRPA1	SNRPA1	12.18	11.83	11.36	2.57	3
ENSCSAG00000000942	NA	0.01	0	0.01	0	0
ENSCSAG00000000097	APOOL	2.89	2.58	2	0.47	0.44
ENSCSAG00000020063	NA	0	0	0	0	0
PPP1R10	PPP1R10	11.49	12.17	10.5	4.33	4.37
KBTBD4	KBTBD4	7.36	7.94	6.43	1.25	1.2
ENSCSAG00000023761	NA	0	0	0	0	0
RNF5	RNF5	40.36	39.28	39.1	7.54	6.7
RABGAP1L	RABGAP1L	1.62	1.93	1.57	0.6	0.56
PLEKHA5	PLEKHA5	9.53	9.11	7.54	2.12	2.73
OXTR	OXTR	0	0	0	0.01	0
ENSCSAG00000015701	GPATCH2	0.38	0.42	0.41	0.37	0.59
BYSL	BYSL	9.95	10.44	8.94	6.2	6.03
ENSCSAG00000025261	AC068531.1	0	0	0	0	0
TEX28	TEX28	0	0	0	0	0
ENSCSAG00000014810	COX7C	292.34	280.76	259.57	53.71	54.46
TVP23A	TVP23A	0	0	0.02	0	0.02
ENSCSAG00000005068	NA	22.98	23.85	21.48	6.62	5.56
ACE	ACE	7.29	7.23	6.54	1.71	1.64
SNORD114-30	SNORD114-30	0	0	0	0	0
BPIFB4	BPIFB4	0	0.02	0	0	0
ENSCSAG00000021855	NA	0	0	0	0	0
CRYZ	CRYZ	35.8	34.63	30.86	4.78	5.45
ENSCSAG00000021844	NA	0	0	0	0	0
SLC47A2	SLC47A2	2.68	2.7	2.69	0.4	0.46
SF3A1	SF3A1	14.7	14.71	12.65	3.85	4.18
KHDRBS1	KHDRBS1	65.87	65.45	59.63	15.78	15.85
YIF1A	YIF1A	5.92	5.99	5.95	0.97	1.35
UNC79	UNC79	0.05	0.08	0.04	0.01	0.02
TRAPPC3L	TRAPPC3L	0.04	0.04	0.17	0	0
SMLR1	SMLR1	0.03	0.11	0.05	0.01	0.01
TBRG4	TBRG4	15.36	15.24	13.47	4.29	4.47
ENSCSAG00000019146	MT2A	107.11	110.6	106.19	37.6	45.76
ENSCSAG00000009490	ERBB4	0.01	0	0	0	0
ANKRD65	ANKRD65	15.06	13.68	12.31	2.5	1.67
GNAQ	GNAQ	7.95	7.62	6.66	2.64	2.16
ITPR1	ITPR1	1.05	1.09	0.9	0.27	0.33
ENSCSAG00000024038	NA	0	0	0	0	0
SLPI	SLPI	0.68	0.68	0.95	0.11	0.26
