p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene_mice	gene	Cell_Identity
0.0	2.8151126809693	0.968	0.214	0.0	Alveolar_macrophage	Chi3l3	NA	Immune
0.0	2.56403282330985	0.924	0.205	0.0	Alveolar_macrophage	Ccl6	NA	Immune
0.0	2.46514786501129	0.641	0.05	0.0	Alveolar_macrophage	Ear2	NA	Immune
0.0	2.28433406676921	0.553	0.032	0.0	Alveolar_macrophage	Atp6v0d2	ATP6V0D2	Immune
0.0	2.0383236279276	0.549	0.056	0.0	Alveolar_macrophage	Mrc1	MRC1	Immune
0.0	1.98335545940623	0.298	0.014	0.0	Alveolar_macrophage	Fabp1	FABP1	Immune
0.0	1.97804842289719	0.465	0.041	0.0	Alveolar_macrophage	1100001G20Rik	NA	Immune
0.0	1.96480498031117	0.337	0.013	0.0	Alveolar_macrophage	Ear1	NA	Immune
0.0	1.94234510694165	0.464	0.048	0.0	Alveolar_macrophage	1600029D21Rik	NA	Immune
0.0	1.93619438069052	0.757	0.211	0.0	Alveolar_macrophage	Ctsd	CTSD	Immune
0.0	1.86837005708747	0.43	0.04	0.0	Alveolar_macrophage	Abcg1	ABCG1	Immune
0.0	1.86480729251005	0.861	0.323	0.0	Alveolar_macrophage	Cd9	CD9	Immune
0.0	1.80578085755429	0.841	0.214	0.0	Alveolar_macrophage	Ctss	CTSS	Immune
0.0	1.75445785210541	0.303	0.017	0.0	Alveolar_macrophage	F7	F7	Immune
0.0	1.74954164752852	0.331	0.021	0.0	Alveolar_macrophage	Ltc4s	LTC4S	Immune
0.0	1.71657192752001	0.524	0.101	0.0	Alveolar_macrophage	Lpl	LPL	Immune
0.0	1.6987973292417	0.309	0.021	0.0	Alveolar_macrophage	Il18	IL18	Immune
0.0	1.68526390296375	0.644	0.159	0.0	Alveolar_macrophage	Lgals3	LGALS3	Immune
0.0	1.65998928298901	0.254	0.011	0.0	Alveolar_macrophage	Krt79	NA	Immune
0.0	1.65006069812687	0.511	0.105	0.0	Alveolar_macrophage	Cd44	CD44	Immune
0.0	1.64066116302558	0.403	0.062	0.0	Alveolar_macrophage	Sgk1	SGK1	Immune
0.0	1.59788323770796	0.266	0.03	0.0	Alveolar_macrophage	Cebpb	CEBPB	Immune
0.0	1.59393112972698	0.19	0.012	0.0	Alveolar_macrophage	Marco	MARCO	Immune
0.0	1.57530496117713	0.483	0.082	0.0	Alveolar_macrophage	Mpeg1	NA	Immune
0.0	1.56619704959782	0.325	0.034	0.0	Alveolar_macrophage	1810033B17Rik	NA	Immune
0.0	1.53909020837693	0.393	0.071	0.0	Alveolar_macrophage	Plin2	PLIN2	Immune
0.0	1.49359259142316	0.237	0.015	0.0	Alveolar_macrophage	Hebp1	HEBP1	Immune
0.0	1.49085776176079	0.281	0.029	0.0	Alveolar_macrophage	Tnfaip2	TNFAIP2	Immune
0.0	1.45438442901262	0.35	0.066	0.0	Alveolar_macrophage	Cd302	CD302	Immune
0.0	1.44819325489383	0.499	0.104	0.0	Alveolar_macrophage	Cybb	CYBB	Immune
0.0	1.42099447535727	0.235	0.015	0.0	Alveolar_macrophage	Clec4n	NA	Immune
0.0	1.41557842823669	0.321	0.051	0.0	Alveolar_macrophage	Pld3	PLD3	Immune
0.0	1.41045120632156	0.235	0.013	0.0	Alveolar_macrophage	Ms4a8a	MS4A8	Immune
0.0	1.37179337109037	0.232	0.021	0.0	Alveolar_macrophage	Klhdc4	KLHDC4	Immune
0.0	1.36899375516168	0.261	0.033	0.0	Alveolar_macrophage	Sirpa	SIRPA	Immune
0.0	1.36870033394447	0.225	0.02	0.0	Alveolar_macrophage	Axl	AXL	Immune
0.0	1.34723495189985	0.448	0.102	0.0	Alveolar_macrophage	Msrb1	MSRB1	Immune
0.0	1.30694494112009	0.227	0.02	0.0	Alveolar_macrophage	Itgax	ITGAX	Immune
0.0	1.30184961044648	0.942	0.757	0.0	Alveolar_macrophage	Fth1	FTH1	Immune
0.0	1.28929656792972	0.634	0.168	0.0	Alveolar_macrophage	Tyrobp	TYROBP	Immune
0.0	1.2765172725848	0.166	0.007	0.0	Alveolar_macrophage	Cidec	CIDEC	Immune
0.0	1.24180472645068	0.589	0.195	0.0	Alveolar_macrophage	Laptm5	LAPTM5	Immune
0.0	1.22859534968365	0.7	0.255	0.0	Alveolar_macrophage	Vim	VIM	Immune
0.0	1.15923331810546	0.552	0.151	0.0	Alveolar_macrophage	Fcer1g	FCER1G	Immune
8.36559303444242e-302	1.44776950996609	0.33	0.061	1.83783713373666e-297	Alveolar_macrophage	Nceh1	NCEH1	Immune
1.22141758517549e-295	1.34041974463461	0.202	0.018	2.68333229287204e-291	Alveolar_macrophage	Tcf7l2	TCF7L2	Immune
7.7463546695083e-294	1.17666210880788	0.141	0.005	1.70179665734428e-289	Alveolar_macrophage	Acaa1b	ACAA1	Immune
3.10192642541288e-277	1.45723740177099	0.227	0.027	6.81462216398956e-273	Alveolar_macrophage	Ctsk	CTSK	Immune
1.07724526764062e-270	1.13995134602154	0.432	0.111	2.36660012847968e-266	Alveolar_macrophage	Alox5ap	ALOX5AP	Immune
1.13384488992443e-267	1.2796788241143	0.268	0.043	2.49094383867498e-263	Alveolar_macrophage	Snx10	SNX10	Immune
1.47605597408717e-264	1.27302553447367	0.204	0.022	3.2427473694721e-260	Alveolar_macrophage	Fabp4	FABP4	Immune
9.86249536055732e-263	1.23417525841437	0.279	0.047	2.16669160576084e-258	Alveolar_macrophage	Cd68	CD68	Immune
9.55109230691901e-258	1.11037833342661	0.151	0.01	2.09827946890704e-253	Alveolar_macrophage	Fpr1	FPR1	Immune
1.00673342195466e-255	1.03759914407051	0.131	0.006	2.21169265469218e-251	Alveolar_macrophage	Olr1	OLR1	Immune
1.08785849600313e-239	1.0809806744629	0.588	0.233	2.38991632986927e-235	Alveolar_macrophage	Psap	PSAP	Immune
1.72451241066872e-239	1.11053291325274	0.748	0.464	3.78858131499812e-235	Alveolar_macrophage	Gm10116	NA	Immune
2.29792116399704e-239	1.28346865801836	0.282	0.054	5.0483030051851e-235	Alveolar_macrophage	Aprt	APRT	Immune
5.52293701787598e-236	1.14975247149571	0.267	0.047	1.21333403345717e-231	Alveolar_macrophage	Car4	CA4	Immune
1.23735740388825e-233	1.14564311140248	0.242	0.039	2.7183504806021e-229	Alveolar_macrophage	Dab2	DAB2	Immune
3.8311108112097e-231	1.10976661795804	0.182	0.02	8.41656734114659e-227	Alveolar_macrophage	Cd300lf	CD300LF	Immune
3.1468248716738e-226	1.07129524690295	0.366	0.096	6.91325956058016e-222	Alveolar_macrophage	Slpi	SLPI	Immune
2.57418509250162e-225	1.08765813444729	0.623	0.299	5.65522722971682e-221	Alveolar_macrophage	Anxa2	ANXA2	Immune
1.35438615842123e-221	1.14193991860382	0.187	0.023	2.9754509514356e-217	Alveolar_macrophage	Bst1	BST1	Immune
2.69571551728583e-221	1.10904124089339	0.188	0.023	5.92221741992525e-217	Alveolar_macrophage	Bcl2a1a	NA	Immune
5.91814097731709e-221	1.16069898812925	0.234	0.039	1.30015639130679e-216	Alveolar_macrophage	Lipa	LIPA	Immune
1.58327834759016e-219	1.18960492149172	0.204	0.029	3.47830420182082e-215	Alveolar_macrophage	Lrp1	LRP1	Immune
3.01617156289755e-218	1.14137347728831	0.185	0.023	6.62622730652963e-214	Alveolar_macrophage	Mertk	MERTK	Immune
1.48657914221233e-217	1.55261747316913	0.243	0.043	3.26586571752626e-213	Alveolar_macrophage	Spp1	SPP1	Immune
1.29307037635934e-210	1.09128991323145	0.237	0.041	2.84074630982383e-206	Alveolar_macrophage	Lilrb4	NA	Immune
1.92157144548708e-208	1.00517196059153	0.533	0.21	4.22150030859057e-204	Alveolar_macrophage	Cyba	CYBA	Immune
2.6806132507059e-198	1.23630100702907	0.294	0.071	5.88903925047579e-194	Alveolar_macrophage	Cd164	CD164	Immune
2.46800379368733e-196	1.07080130466342	0.179	0.024	5.42195753435169e-192	Alveolar_macrophage	Abhd12	ABHD12	Immune
2.16007689001183e-195	1.16398336891522	0.133	0.012	4.74547291966699e-191	Alveolar_macrophage	Gpnmb	GPNMB	Immune
4.24590538427011e-194	1.17943122485205	0.439	0.159	9.32782953870301e-190	Alveolar_macrophage	Cstb	CSTB	Immune
2.58587313297743e-189	1.19269856598713	0.304	0.079	5.68090468583811e-185	Alveolar_macrophage	Adipor2	ADIPOR2	Immune
4.46659894766724e-189	1.13155703283009	0.215	0.038	9.81267122813017e-185	Alveolar_macrophage	Pygl	PYGL	Immune
1.24174358059184e-187	1.09732144558939	0.275	0.063	2.7279864722022e-183	Alveolar_macrophage	Naaa	NAAA	Immune
2.82635373381577e-184	1.03002678757907	0.17	0.023	6.20921651781986e-180	Alveolar_macrophage	Nabp1	NABP1	Immune
2.65081974347526e-178	1.09252923413343	0.19	0.031	5.8235858944408e-174	Alveolar_macrophage	Ptpn12	PTPN12	Immune
5.94009857513699e-172	1.14969914688548	0.303	0.085	1.30498025597184e-167	Alveolar_macrophage	Lmo4	LMO4	Immune
9.51467455474216e-170	1.05961694426432	0.188	0.033	2.09027885293131e-165	Alveolar_macrophage	Blvra	BLVRA	Immune
2.19024163870565e-169	1.02533311033431	0.245	0.055	4.81174185607245e-165	Alveolar_macrophage	Gda	GDA	Immune
1.94915903070532e-168	1.02636054060513	0.158	0.022	4.28210747455653e-164	Alveolar_macrophage	Hsd3b7	HSD3B7	Immune
3.54478985385642e-163	1.18138364747289	0.454	0.184	7.78754882993718e-159	Alveolar_macrophage	Mt1	NA	Immune
1.561138967229e-156	-1.43474409468372	0.29	0.579	3.4296661971054e-152	Alveolar_macrophage	Cbr2	NA	Immune
2.87562489157948e-151	1.06110436849386	0.262	0.07	6.31746032431095e-147	Alveolar_macrophage	Hexa	HEXA	Immune
7.17908622720609e-142	1.01948907903144	0.359	0.133	1.57717345325491e-137	Alveolar_macrophage	Trf	NA	Immune
3.25893639842288e-132	1.01378648524836	0.211	0.052	7.15955737369524e-128	Alveolar_macrophage	Ncf1	NCF1	Immune
5.33787797375595e-126	-1.78206568196487	0.469	0.656	1.17267841205444e-121	Alveolar_macrophage	Sftpa1	NA	Immune
6.1228414989103e-125	1.0065875591093	0.33	0.124	1.3451270488956e-120	Alveolar_macrophage	Reep5	REEP5	Immune
6.51293946222593e-125	1.01834835424346	0.14	0.024	1.43082767045641e-120	Alveolar_macrophage	Slc7a2	SLC7A2	Immune
1.69121429477983e-116	-1.56280187604405	0.173	0.439	3.71542868420181e-112	Alveolar_macrophage	Sftpd	SFTPD	Immune
6.34169410110565e-116	-1.04666371166704	0.251	0.53	1.3932067770719e-111	Alveolar_macrophage	Ly6e	LY6E	Immune
6.43683653441951e-115	-1.27041565705416	0.139	0.415	1.41410861824662e-110	Alveolar_macrophage	Wfdc2	WFDC2	Immune
4.36905173421091e-114	-1.59103557157852	0.367	0.578	9.59836975488794e-110	Alveolar_macrophage	Sftpb	SFTPB	Immune
2.82488317510093e-113	-1.62420998641223	0.157	0.42	6.20598584737923e-109	Alveolar_macrophage	Cxcl15	NA	Immune
2.44554617774748e-105	-1.83134747065688	0.874	0.912	5.37262039789344e-101	Alveolar_macrophage	Sftpc	SFTPC	Immune
1.01275813611075e-102	-1.48699505814354	0.16	0.405	2.2249283492217e-98	Alveolar_macrophage	Slc34a2	SLC34A2	Immune
1.8806360813583e-102	-1.53487555985408	0.099	0.348	4.13156940713606e-98	Alveolar_macrophage	Chi3l1	NA	Immune
1.96012606369216e-90	-1.49393686140824	0.136	0.371	4.30620094932531e-86	Alveolar_macrophage	Scd1	NA	Immune
8.35561785208383e-88	-1.25664040992013	0.1	0.329	1.8356456859243e-83	Alveolar_macrophage	Napsa	NAPSA	Immune
1.22012646986575e-87	-1.14445481739037	0.079	0.311	2.68049584164806e-83	Alveolar_macrophage	Atp1b1	ATP1B1	Immune
1.78883222355132e-81	-1.08391382389566	0.107	0.332	3.9298855119199e-77	Alveolar_macrophage	Hp	HP	Immune
1.67892607379165e-77	-1.08346783360491	0.078	0.29	3.68843269151288e-73	Alveolar_macrophage	Selenbp1	NA	Immune
6.90256551741676e-73	-1.21944625161432	0.046	0.237	1.51642461852129e-68	Alveolar_macrophage	Sfta2	SFTA2	Immune
1.11773445891787e-71	-1.20969201721687	0.075	0.27	2.45555083279667e-67	Alveolar_macrophage	Lamp3	LAMP3	Immune
4.76670328671023e-69	-1.06886185038158	0.06	0.251	1.04719704505737e-64	Alveolar_macrophage	Ces1d	NA	Immune
8.13836119751123e-67	-1.23093498634708	0.093	0.281	1.78791657148124e-62	Alveolar_macrophage	Hc	C5	Immune
