gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	Cell_Identity
MS4A1	1.5099999999999982e-295	2.055074364	0.893	0.002	3.969999999999996e-291	B_Cells	Immune_Lymphoid
CD79A	4.84e-08	1.817298477	0.95	0.009000000000000001	0.001276885	B_Cells	Immune_Lymphoid
LTB	1.6100000000000002e-13	1.528375913	0.721	0.069	4.25e-09	B_Cells	Immune_Lymphoid
CD37	1.76e-45	1.303622833	0.993	0.513	4.63e-41	B_Cells	Immune_Lymphoid
CD69	1.35e-08	1.249692997	0.75	0.17	0.000355813	B_Cells	Immune_Lymphoid
CD79B	5.1999999999999985e-48	1.116430743	0.743	0.024	1.3699999999999996e-43	B_Cells	Immune_Lymphoid
BANK1	3.989999999999997e-169	1.104682819	0.6709999999999999	0.04	1.0499999999999996e-164	B_Cells	Immune_Lymphoid
FCMR	8.1e-26	1.03740221	0.7290000000000001	0.067	2.14e-21	B_Cells	Immune_Lymphoid
RCSD1	1.9999999999999998e-32	0.998636449	0.7709999999999999	0.171	5.269999999999999e-28	B_Cells	Immune_Lymphoid
PTPRCAP	4.32e-08	0.982730012	0.643	0.085	0.00113934	B_Cells	Immune_Lymphoid
LINC00926	0.0	0.978052941	0.7070000000000001	0.004	0.0	B_Cells	Immune_Lymphoid
RPS27	1.33e-60	0.943745891	1.0	0.995	3.5e-56	B_Cells	Immune_Lymphoid
LIMD2	4.75e-13	0.898493344	0.7859999999999999	0.213	1.25e-08	B_Cells	Immune_Lymphoid
RPS18	9.19e-56	0.8850300170000001	1.0	0.991	2.4199999999999995e-51	B_Cells	Immune_Lymphoid
RALGPS2	6.32e-48	0.88205048	0.614	0.054000000000000006	1.6699999999999993e-43	B_Cells	Immune_Lymphoid
RPL18A	1.04e-65	0.8700120709999999	1.0	0.993	2.7399999999999992e-61	B_Cells	Immune_Lymphoid
CD52	2.18e-10	0.866322248	0.993	0.5589999999999999	5.76e-06	B_Cells	Immune_Lymphoid
RPL13A	9.449999999999999e-65	0.848528222	1.0	0.967	2.49e-60	B_Cells	Immune_Lymphoid
