S.No.	cellType	Cell Category	old_symbol	gene	Updated Gene ID	logFC	logDOR	Prop.Exp.in	Prop.Exp.Out	nCells.in	nCells.out
8180	Fibroblast	Mesenchyme	A2M	A2M	2	0.560661199	1.426676896	0.429973575	0.153353596	2649	305001
12356	Mast	Immune_Myeloid	A2M	A2M	2	0.612205584	1.376899972	0.41994382	0.154506802	1424	306226
13979	Myofibroblast	Mesenchyme	A2M	A2M	2	2.142050608	3.465361979	0.847313051	0.147737996	3517	304133
16990	Pericytes	Mesenchyme	A2M	A2M	2	1.644999136	3.251280787	0.825373134	0.154273894	670	306980
17614	SMC	Mesenchyme	A2M	A2M	2	1.156266521	2.578447343	0.706798867	0.154467916	706	306944
18493	T Cytotoxic	Immune_Lymphoid	A2M	A2M	2	0.449235814	0.974127416	0.313186143	0.146871803	16396	291254
19453	VE Venous	Vascular-Endothelial	A2M	A2M	2	0.639713478	1.62505095	0.482191781	0.154958947	730	306920
19971	VE Capillary B	Vascular-Endothelial	A2M	A2M	2	0.817775227	1.809618979	0.526950925	0.154229505	1243	306407
20517	VE Arterial	Vascular-Endothelial	A2M	A2M	2	0.86183161	2.031367808	0.582574772	0.154665815	769	306881
21217	VE Capillary A	Vascular-Endothelial	A2M	A2M	2	0.363477609	0.930647656	0.317919075	0.15546135	519	307131
21560	VE Peribronchial	Vascular-Endothelial	A2M	A2M	2	1.185743359	2.88779594	0.7625	0.151605197	2080	305570
21645	VE Peribronchial	Vascular-Endothelial	A4GALT	A4GALT	53947	0.324599421	2.400990718	0.358173077	0.048152633	2080	305570
2728	Ciliated	Epithelial	AADACL2	AADACL2	344752	0.913978658	6.150030717	0.653466387	0.004004964	9520	298130
20842	VE Arterial	Vascular-Endothelial	AAK1	AAK1	22848	0.322367554	0.345081501	0.525357607	0.439375523	769	306881
895	AT2	Epithelial	AASS	AASS	10157	0.365778022	2.839506339	0.357737945	0.031535551	3961	303689
2170	Basal	Epithelial	AASS	AASS	10157	0.332756332	2.580348259	0.318316538	0.034177335	1687	305963
7980	Fibroblast	Mesenchyme	AASS	AASS	10157	0.336129311	2.547770236	0.306153265	0.033386776	2649	305001
14117	Myofibroblast	Mesenchyme	AASS	AASS	10157	0.362271891	2.539104011	0.299687233	0.03268307	3517	304133
17133	Pericytes	Mesenchyme	AASS	AASS	10157	0.363636709	2.348388896	0.276119403	0.035210763	670	306980
17636	SMC	Mesenchyme	AASS	AASS	10157	0.383154926	2.378052539	0.281869688	0.035169282	706	306944
16104	PNEC	Epithelial	ABAT	ABAT	18	0.521235169	2.071963694	0.467741935	0.099828342	62	307588
11569	Macrophage	Immune_Myeloid	ABCA1	ABCA1	19	0.905925548	1.741649623	0.68319357	0.274247946	108994	198656
7917	Fibroblast	Mesenchyme	ABCA10	ABCA10	10349	0.362752961	2.989660806	0.293695734	0.020495015	2649	305001
2973	Ciliated	Epithelial	ABCA13	ABCA13	154664	1.154005082	4.505934021	0.695063025	0.024549693	9520	298130
8627	Goblet	Epithelial	ABCA13	ABCA13	154664	0.505062479	2.734802508	0.413469068	0.043763648	1277	306373
10338	Ionocyte	Epithelial	ABCA13	ABCA13	154664	0.354906891	1.949850547	0.24	0.045282406	25	307625
275	AT1	Epithelial	ABCA3	ABCA3	21	0.605391563	2.312193948	0.402659069	0.062606614	1053	306597
709	AT2	Epithelial	ABCA3	ABCA3	21	1.701256239	4.578611903	0.846503408	0.053561374	3961	303689
3647	Ciliated	Epithelial	ABCA5	ABCA5	23461	0.436372634	2.40866719	0.466911765	0.073018482	9520	298130
10237	Ionocyte	Epithelial	ABCA5	ABCA5	23461	0.396700607	2.142162495	0.44	0.085178383	25	307625
15963	PNEC	Epithelial	ABCA5	ABCA5	23461	0.638019285	2.695043522	0.580645161	0.085107351	62	307588
7842	Fibroblast	Mesenchyme	ABCA6	ABCA6	23460	0.625075466	3.691323565	0.447338618	0.01978682	2649	305001
13960	Myofibroblast	Mesenchyme	ABCA6	ABCA6	23460	0.596305615	3.60595654	0.415410862	0.018935795	3517	304133
402	AT1	Epithelial	ABCA7	ABCA7	10347	0.465208925	1.669565028	0.37037037	0.099779189	1053	306597
7772	Fibroblast	Mesenchyme	ABCA8	ABCA8	10351	0.68109902	4.622079541	0.512268781	0.010219639	2649	305001
13937	Myofibroblast	Mesenchyme	ABCA8	ABCA8	10351	0.422278363	3.831178584	0.335513221	0.010830788	3517	304133
7815	Fibroblast	Mesenchyme	ABCA9-AS1	ABCA9-AS1	104355297	0.341365496	4.016259186	0.27217818	0.00669506	2649	305001
9013	ILC A	Immune_Lymphoid	ABCB1	ABCB1	5243	0.43634867	2.389421093	0.280701754	0.034590058	741	306909
9373	ILC B	Immune_Lymphoid	ABCB1	ABCB1	5243	0.329610069	2.03727159	0.21656051	0.03490473	471	307179
19322	VE Venous	Vascular-Endothelial	ABCB1	ABCB1	5243	0.403934464	2.36909008	0.276712329	0.034608367	730	306920
21468	VE Peribronchial	Vascular-Endothelial	ABCB1	ABCB1	5243	0.808712189	3.569355095	0.537980769	0.031760317	2080	305570
2516	Basal	Epithelial	ABCC1	ABCC1	4363	0.53761844	1.291356714	0.687018376	0.376212156	1687	305963
8357	Fibroblast	Mesenchyme	ABCC1	ABCC1	4363	0.314610629	0.703894647	0.549641374	0.376424995	2649	305001
9461	ILC B	Immune_Lymphoid	ABCC1	ABCC1	4363	0.832697883	0.846407233	0.585987261	0.377597427	471	307179
12420	Mast	Immune_Myeloid	ABCC1	ABCC1	4363	0.740397679	0.810716134	0.576544944	0.376992809	1424	306226
13161	Mesothelial	Epithelial	ABCC1	ABCC1	4363	0.395711261	1.014932454	0.626102293	0.377458212	567	307083
18068	T	Immune_Lymphoid	ABCC1	ABCC1	4363	1.099919612	1.224018197	0.659048565	0.362389727	16102	291548
18666	T Cytotoxic	Immune_Lymphoid	ABCC1	ABCC1	4363	0.370067173	0.228455679	0.429860942	0.374992275	16396	291254
18840	T Regulatory	Immune_Lymphoid	ABCC1	ABCC1	4363	1.14456116	1.44202119	0.718579235	0.376287616	1464	306186
2490	Basal	Epithelial	ABCC3	ABCC3	8714	0.513261392	1.359713917	0.526970954	0.222389635	1687	305963
15516	Aberrant Basaloid	Epithelial	ABCC3	ABCC3	8714	0.450315256	1.688408646	0.609147609	0.223456794	481	307169
968	AT2	Epithelial	ABCC4	ABCC4	10257	0.711746342	2.496107102	0.626356981	0.121357705	3961	303689
4592	Club	Epithelial	ABCC4	ABCC4	10257	0.383318771	1.631855312	0.422971384	0.125392086	2551	305099
