gene	logFC	p_val	pval_adj	cell
SCGB3A2	3.4	0	0	Club
CYP2B7P	1.11	1.64E-167	4.33E-163	Club
MGP	2.23	1.47E-159	3.89E-155	Club
RPLP2	0.6	2.03E-133	5.36E-129	Club
RNASE1	1.06	1.27E-123	3.35E-119	Club
SFTPB	0.79	6.38E-121	1.69E-116	Club
CYB5A	0.67	1.48E-113	3.93E-109	Club
VIM	1.07	3.22E-113	8.54E-109	Club
HSD17B11	0.85	4.59E-107	1.22E-102	Club
CTSE	0.75	9.27E-107	2.45E-102	Club
C16orf89	0.86	2.82E-102	7.48E-98	Club
RPL27A	0.51	3.21E-101	8.50E-97	Club
RPL34	0.52	1.59E-94	4.21E-90	Club
RPL26	0.52	4.61E-94	1.22E-89	Club
RPL21	0.47	2.48E-92	6.57E-88	Club
RPS29	0.54	1.06E-91	2.80E-87	Club
RPS19	0.5	9.00E-90	2.38E-85	Club
RPS14	0.49	2.39E-89	6.32E-85	Club
AADAC	0.93	4.92E-89	1.30E-84	Club
RPS23	0.48	8.00E-87	2.12E-82	Club
SFTA1P	0.72	5.15E-86	1.37E-81	Club
RPL24	0.45	4.05E-84	1.07E-79	Club
RPL35	0.46	1.74E-82	4.61E-78	Club
RPS24	0.47	2.41E-82	6.37E-78	Club
RPL39	0.5	4.96E-81	1.31E-76	Club
CST3	0.48	1.24E-80	3.28E-76	Club
RPS28	0.47	1.53E-80	4.06E-76	Club
RPS25	0.43	2.09E-79	5.54E-75	Club
AGR3	0.74	1.67E-78	4.44E-74	Club
RPS15A	0.45	3.13E-77	8.29E-73	Club
HOPX	0.47	9.95E-76	2.64E-71	Club
RPS21	0.48	8.14E-75	2.16E-70	Club
RPL22	0.44	1.85E-74	4.89E-70	Club
RPS18	0.45	4.14E-74	1.10E-69	Club
RPL32	0.43	5.83E-73	1.55E-68	Club
RPS27A	0.41	4.10E-72	1.08E-67	Club
RPL37	0.45	6.24E-70	1.65E-65	Club
KIAA1324	0.57	4.71E-69	1.25E-64	Club
STEAP4	0.7	3.21E-68	8.51E-64	Club
MET	0.52	4.21E-68	1.11E-63	Club
RPS6	0.43	9.03E-68	2.39E-63	Club
RPS3	0.44	2.42E-67	6.41E-63	Club
RPS3A	0.42	4.60E-67	1.22E-62	Club
RPL9	0.39	5.26E-67	1.39E-62	Club
