Gene stable ID	Gene name	Human gene stable ID	Human gene name
ENSCSAG00000000001			
ENSCSAG00000000002			
ENSCSAG00000000003			
ENSCSAG00000000004			
ENSCSAG00000000005			
ENSCSAG00000000006	ND1	ENSG00000198888	MT-ND1
ENSCSAG00000000007			
ENSCSAG00000000008			
ENSCSAG00000000009			
ENSCSAG00000000010	MT-ND2	ENSG00000198763	MT-ND2
ENSCSAG00000000011			
ENSCSAG00000000012			
ENSCSAG00000000013			
ENSCSAG00000000014			
ENSCSAG00000000015			
ENSCSAG00000000016	COX1	ENSG00000198804	MT-CO1
ENSCSAG00000000017			
ENSCSAG00000000018			
ENSCSAG00000000019	COX2	ENSG00000198712	MT-CO2
ENSCSAG00000000020			
ENSCSAG00000000021			
ENSCSAG00000000022	ATP6	ENSG00000198899	MT-ATP6
ENSCSAG00000000023	COX3	ENSG00000198938	MT-CO3
ENSCSAG00000000024			
ENSCSAG00000000025	ND3	ENSG00000198840	MT-ND3
ENSCSAG00000000026			
ENSCSAG00000000027	ND4L	ENSG00000212907	MT-ND4L
ENSCSAG00000000028	MT-ND4	ENSG00000198886	MT-ND4
ENSCSAG00000000029			
ENSCSAG00000000030			
ENSCSAG00000000031			
ENSCSAG00000000032	ND5	ENSG00000198786	MT-ND5
ENSCSAG00000000033	ND6	ENSG00000198695	MT-ND6
ENSCSAG00000000034			
ENSCSAG00000000035	CYTB	ENSG00000198727	MT-CYB
ENSCSAG00000000036			
ENSCSAG00000000037			
ENSCSAG00000018407	BTNL3	ENSG00000168903	BTNL3
ENSCSAG00000018406		ENSG00000172288	CDY1
ENSCSAG00000018406		ENSG00000182415	CDY2A
ENSCSAG00000018406		ENSG00000129873	CDY2B
ENSCSAG00000018406		ENSG00000172352	CDY1B
ENSCSAG00000018405			
ENSCSAG00000018404		ENSG00000228570	NUTM2E
ENSCSAG00000018404		ENSG00000184923	NUTM2A
ENSCSAG00000018404		ENSG00000214562	NUTM2D
