name	node1 gene ID	MCL cluster	Conserved (Y/N)	SARS-CoV-2 Interacting Protein	SARS-CoV-2 PPI (Y/N)
ADAR	103	C-1	yes	NA	no
ANAPC11	51529	C-1	yes	NA	no
ANAPC15	25906	C-1	yes	NA	no
ANLN	54443	C-1	yes	NA	no
AREG	374	C-1	yes	NA	no
AURKB	9212	C-1	yes	NA	no
BMP2	650	C-1	yes	NA	no
BST2	684	C-1	yes	NA	no
PAXX	286257	C-1	yes	NA	no
CBLB	868	C-1	yes	NA	no
CCNA2	890	C-1	yes	NA	no
CCNB1	891	C-1	yes	NA	no
CCNB2	9133	C-1	yes	NA	no
CDC20	991	C-1	yes	NA	no
CDCA3	83461	C-1	yes	NA	no
CDCA8	55143	C-1	yes	NA	no
CDKN3	1033	C-1	yes	NA	no
CENPF	1063	C-1	yes	SARS-CoV2 nsp13	yes
CEP350	9857	C-1	yes	SARS-CoV2 nsp13	yes
CEP55	55165	C-1	yes	NA	no
CETN2	1069	C-1	yes	NA	no
CKS1B	1163	C-1	yes	NA	no
CLIP4	79745	C-1	yes	SARS-CoV2 nsp13	yes
COMMD4	54939	C-1	yes	NA	no
COPS6	10980	C-1	yes	NA	no
CTSC	1075	C-1	yes	NA	no
CTSS	1520	C-1	yes	NA	no
CUL2	8453	C-1	no	SARS-CoV2 orf10	yes
CYB5R3	1727	C-1	no	SARS-CoV2 nsp7	yes
DCLRE1C	64421	C-1	yes	NA	no
DCTN1	1639	C-1	yes	NA	no
DCUN1D3	123879	C-1	yes	NA	no
DDB1	1642	C-1	yes	NA	no
DDX58	23586	C-1	yes	NA	no
DDX60	55601	C-1	yes	NA	no
DGUOK	1716	C-1	yes	NA	no
DTX3L	151636	C-1	yes	NA	no
EGR1	1958	C-1	yes	NA	no
ERP44	23071	C-1	no	SARS-CoV2 orf8	yes
FBXL12	54850	C-1	no	SARS-CoV2 orf8	yes
FBXL15	79176	C-1	yes	NA	no
FBXO2	26232	C-1	yes	NA	no
FBXO32	114907	C-1	yes	NA	no
FBXW7	55294	C-1	yes	NA	no
FBXW9	84261	C-1	yes	NA	no
FOLR1	2348	C-1	yes	NA	no
FOXM1	2305	C-1	yes	NA	no
GADD45A	1647	C-1	yes	NA	no
GALM	130589	C-1	yes	NA	no
GBP1	2633	C-1	yes	NA	no
GBP5	115362	C-1	yes	NA	no
GGH	8836	C-1	no	SARS-CoV2 orf8	yes
GLA	2717	C-1	no	SARS-CoV2 nsp14	yes
GOLGA2	2801	C-1	no	SARS-CoV2 nsp13	yes
GOLGB1	2804	C-1	no	SARS-CoV2 nsp13	yes
GORASP1	64689	C-1	no	SARS-CoV2 nsp13	yes
GSTM4	2948	C-1	yes	NA	no
HECTD1	25831	C-1	no	SARS-CoV2 nsp8	yes
HERC6	55008	C-1	yes	NA	no
HLA-DMB	3109	C-1	yes	NA	no
HLA-DOB	3112	C-1	yes	NA	no
ICAM1	3383	C-1	yes	NA	no
IFI35	3430	C-1	yes	NA	no
IFI44	10561	C-1	yes	NA	no
IFI44L	10964	C-1	yes	NA	no
IFI6	2537	C-1	yes	NA	no
IFIH1	64135	C-1	yes	NA	no
IFIT1	3434	C-1	yes	NA	no
IFIT2	3433	C-1	yes	NA	no
IFIT3	3437	C-1	yes	NA	no
IFIT5	24138	C-1	yes	NA	no
IFNL1	282618	C-1	yes	NA	no
IFNLR1	163702	C-1	yes	NA	no
